Title,Company,experience,Estimated_salary,location,Industry_type,job_type,key_skills
Senior Data Scientist,Nanobi Data And Analytics Pvt Ltd,7 - 9 years,Not Disclosed,Bengaluru,IT Services & Consulting,"Full Time, Permanent",SASdata scienceConsultingPresalesmodel developmentSPSSbig dataBusiness ExecutiveSQLPython
Lead Data Scientist,Tide Software,1 - 6 years,Not Disclosed,Hyderabad,IT Services & Consulting,"Full Time, Permanent",Backenddata scienceEnterprise architectureAnalyticalDiversity and InclusionProject managementAgileMedical insuranceSQLData architecture
Senior Analyst,Netscribes (India) pvt Ltd,1 - 3 years,Not Disclosed,Mumbai,BPO / Call Centre,"Full Time, Permanent",Data ScienceRGoogle AnalyticsText AnalyticsData VisualizationClusteringPythonSqlRandom Forest
Lending Portfolio Analyst,jupiter,2 - 5 years,Not Disclosed,Bangalore/Bengaluru,Courier / Logistics,"Full Time, Permanent",Data ScienceRComputer ScienceCredit RiskData VisualizationMachine LearningRisk ManagementCredit CardsPythonSql
Senior Data Scientist,Nanobi Data And Analytics Pvt Ltd,7 - 9 years,Not Disclosed,Bengaluru,IT Services & Consulting,"Full Time, Permanent",SASdata scienceConsultingPresalesStoresSPSSbig dataBusiness ExecutiveSQLPython
Business Analyst for the Pre-Sales/Solutions Team,Nanobi Data And Analytics Pvt Ltd,4 - 6 years,Not Disclosed,Bengaluru,IT Services & Consulting,"Full Time, Permanent",Supply chaindata scienceAnalyticalWritten communicationPresalesBusiness ExecutiveFinancial servicesAnalyticsReporting toolsSales consulting
Data Scientist,Analytos,2 - 4 years,Not Disclosed,India,IT Services & Consulting,"Full Time, Permanent",Text miningdeep learningNoSQLRFdata scienceData researchData modelingManager Technologybig dataStatistics
Junior Data Scientist,Analytos,0 - 2 years,Not Disclosed,India,IT Services & Consulting,"Full Time, Permanent",Text miningdeep learningNoSQLRFdata scienceData researchData modelingManager Technologybig dataStatistics
MIS Executive - WALK IN Interview,CPM INDIA Sales  Marketing Pvt Ltd.,2 - 6 years,"₹ 2,00,000 - 3,50,000 P.A. ",New Delhi( Okhla ),FMCG,"Full Time, Permanent",Pivot TableMISData ManagementData AnalysisData MaintenanceAdvanced ExcelLookupHLOOKUP
Senior Data Science Engineer,Mad Street Den,3 - 6 years,Not Disclosed,Chennai,IT Services & Consulting,"Full Time, Permanent",MiningComputer sciencedata scienceMachine learningdata visualizationData miningBusiness intelligenceForecastingSQLPython
Data Science - Data Scientist/Senior Data Scientist,Paytm,3 - 5 years,Not Disclosed,"Pune, Bangalore/Bengaluru",Banking,"Full Time, Permanent",Data ScienceTensorflowNlpData ScientistComputer ScienceNeural NetworksComputer VisionPython
Senior Data Engineer,Open Systems AG,7 - 10 years,Not Disclosed,Noida,Hardware & Networking,"Full Time, Permanent",Data ScienceNosqlAlgorithmsContinuous DeliverySparkMachine LearningData StructurePythonSecurity Systems
Lead Data Scientist,RGF Professional Recruitment,6 - 8 years,Not Disclosed,Hyderabad/Secunderabad,Recruitment / Staffing,"Full Time, Permanent",Supply chaindata scienceInfrastructureInfra LeadSavingSQLPythonRecruitmentTesting
DATA SCIENTIST,reflections global,3 - 8 years,Not Disclosed,Trivandrum/Thiruvananthapuram,IT Services & Consulting,"Full Time, Permanent",data sciencedevopsCloudProgrammingInfrastructureOpen sourcebig dataSystem AdministratorPython
Principal Data Scientist/ Manager - Data Science,Perform Group,8 - 12 years,Not Disclosed,Bangalore/Bengaluru,Film / Music / Entertainment,"Full Time, Permanent",data scienceOpencvConsultingResearchAWSPrincipalPython
"Pre-sales Data Scientist,Pan India",ExecBoardinAsia,5 - 10 years,Not Disclosed,remote,Recruitment / Staffing,"Full Time, Permanent",Product engineeringSalesdata scienceJSPRelationshipPresalesSubject Matter ExpertBusiness ExecutiveAnalytics
