Text,rating,price,ROM,Display,camera,chip
"APPLE iPhone 11 Pro (Midnight Green, 512 GB)",4.6,"₹1,40,300",,,,
"Apple iPhone XR (White, 256 GB) (Includes EarPods, Power Adapter)",4.6,"₹91,900",256 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor
"Apple iPhone 11 (Red, 128 GB) (Includes EarPods, Power Adapter)",4.6,"₹54,900",128 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
"APPLE iPhone 13 Mini (Blue, 512 GB)",,"₹99,900",,,,
"Apple iPhone 11 (Purple, 64 GB) (Includes EarPods, Power Adapter)",4.6,"₹49,900",64 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
"APPLE iPhone 12 Pro Max (Graphite, 128 GB)",4.6,"₹1,19,900",128 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
"APPLE iPhone 11 Pro Max (Midnight Green, 256 GB)",4.7,"₹1,31,900",256 GB ROM,16.51 cm (6.5 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
"APPLE iPhone 11 Pro Max (Silver, 64 GB)",4.7,"₹1,17,100",64 GB ROM,16.51 cm (6.5 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
"APPLE iPhone XS Max (Space Grey, 64 GB)",4.6,"₹73,999",,,,
"APPLE iPhone 12 (Purple, 256 GB)",4.6,"₹78,999",256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
"Apple iPhone 11 (White, 256 GB) (Includes EarPods, Power Adapter)",4.6,"₹64,900",256 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
"Apple iPhone 11 (Green, 256 GB) (Includes EarPods, Power Adapter)",4.6,"₹64,900",256 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
"APPLE iPhone 6s Plus (Gold, 16 GB)",4.4,"₹49,999",16 GB ROM,13.97 cm (5.5 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,A9 Chip with 64-bit Architecture and M9 Motion Co-processor
"APPLE iPhone 6 Plus (Silver, 128 GB)",4.5,"₹48,999",,,,
"APPLE iPhone XR (Coral, 64 GB)",4.6,"₹42,999",64 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor
"APPLE iPhone 13 Pro Max (Gold, 512 GB)",,"₹1,59,900",,,,
"Apple iPhone 11 (White, 64 GB) (Includes EarPods, Power Adapter)",4.6,"₹49,900",64 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
"Apple iPhone 11 (Red, 256 GB) (Includes EarPods, Power Adapter)",4.6,"₹64,900",256 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
"Apple iPhone 11 (Purple, 128 GB) (Includes EarPods, Power Adapter)",4.6,"₹54,900",128 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
"Apple iPhone XR (Coral, 256 GB) (Includes EarPods, Power Adapter)",4.6,"₹91,900",256 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor
"APPLE iPhone 13 Mini (Midnight, 512 GB)",,"₹99,900",,,,
"APPLE iPhone 11 Pro (Gold, 512 GB)",4.6,"₹1,40,300",512 GB ROM,14.73 cm (5.8 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
"APPLE iPhone 13 (Pink, 512 GB)",,"₹1,09,900",,,,
"APPLE iPhone 6 Plus (Space Grey, 16 GB)",4.5,"₹39,999",,,,
"Apple iPhone 11 (White, 128 GB) (Includes EarPods, Power Adapter)",4.6,"₹54,900",128 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
"APPLE iPhone 13 Mini (Pink, 512 GB)",,"₹99,900",,,,
"APPLE iPhone 11 Pro (Gold, 64 GB)",4.6,"₹79,999",64 GB ROM,14.73 cm (5.8 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
